"","i","j","t","prob","collabType"
"108","5","3","2","0.00171798417887524","NATIONAL"
"109","5","4","2","0.000247715256231073","NATIONAL"
"110","5","6","2","0.000247715256231073","NATIONAL"
"111","5","7","2","0.000247715256231073","NATIONAL"
"112","5","8","2","0.00041494390293212","NATIONAL"
"113","5","9","2","0.000247715256231073","NATIONAL"
"114","5","10","2","0.000247715256231073","NATIONAL"
"115","5","13","2","0.0210104266607417","NATIONAL"
"116","5","22","2","0.0210104266607417","NATIONAL"
"117","5","29","2","0.000247715256231073","NATIONAL"
"118","5","38","2","0.00595940641707541","NATIONAL"
"119","5","39","2","0.00105015187661356","NATIONAL"
"120","5","55","2","0.0210104266607417","NATIONAL"
"121","5","56","2","0.0210104266607417","NATIONAL"
"122","5","59","2","0.0210104266607417","NATIONAL"
"123","5","65","2","0.000247715256231073","NATIONAL"
"124","5","78","2","0.000247715256231073","NATIONAL"
"125","5","81","2","0.000247715256231073","NATIONAL"
"126","5","86","2","0.0210104266607417","NATIONAL"
"127","5","87","2","0.0148177981690796","NATIONAL"
"128","5","100","2","0.0210104266607417","NATIONAL"
"129","6","1","2","0.000247715256231073","NATIONAL"
"130","6","3","2","0.00171798417887524","NATIONAL"
"131","6","4","2","0.000247715256231073","NATIONAL"
"132","6","5","2","0.000247715256231073","NATIONAL"
"133","6","7","2","0.000247715256231073","NATIONAL"
"134","6","8","2","0.0347076302473691","NATIONAL"
"135","6","9","2","0.000247715256231073","NATIONAL"
"136","6","10","2","0.000247715256231073","NATIONAL"
"137","6","13","2","0.000247715256231073","NATIONAL"
"138","6","22","2","0.000247715256231073","NATIONAL"
"139","6","29","2","0.000247715256231073","NATIONAL"
"140","6","38","2","0.00595940641707541","NATIONAL"
"141","6","39","2","0.00105015187661356","NATIONAL"
"142","6","55","2","0.000247715256231073","NATIONAL"
"143","6","56","2","0.000247715256231073","NATIONAL"
"144","6","59","2","0.000247715256231073","NATIONAL"
"145","6","65","2","0.000247715256231073","NATIONAL"
"146","6","78","2","0.000247715256231073","NATIONAL"
"147","6","81","2","0.000247715256231073","NATIONAL"
"148","6","86","2","0.000247715256231073","NATIONAL"
"149","6","87","2","0.0148177981690796","NATIONAL"
"150","6","100","2","0.000247715256231073","NATIONAL"
"151","7","1","2","0.0210104266607417","NATIONAL"
"152","7","3","2","0.00171798417887524","NATIONAL"
"153","7","4","2","0.0210104266607417","NATIONAL"
"154","7","5","2","0.000247715256231073","NATIONAL"
"155","7","6","2","0.000247715256231073","NATIONAL"
"156","7","8","2","0.00041494390293212","NATIONAL"
"157","7","9","2","0.0210104266607417","NATIONAL"
"158","7","10","2","0.000247715256231073","NATIONAL"
"159","7","13","2","0.000247715256231073","NATIONAL"
"160","7","22","2","0.000247715256231073","NATIONAL"
"161","7","29","2","0.000247715256231073","NATIONAL"
"162","7","38","2","0.00595940641707541","NATIONAL"
"163","7","39","2","0.00105015187661356","NATIONAL"
"164","7","55","2","0.000247715256231073","NATIONAL"
"165","7","56","2","0.000247715256231073","NATIONAL"
"166","7","59","2","0.000247715256231073","NATIONAL"
"167","7","65","2","0.000247715256231073","NATIONAL"
"168","7","78","2","0.0210104266607417","NATIONAL"
"169","7","81","2","0.000247715256231073","NATIONAL"
"170","7","86","2","0.000247715256231073","NATIONAL"
"171","7","87","2","0.0148177981690796","NATIONAL"
"172","7","100","2","0.000247715256231073","NATIONAL"
"173","8","1","2","0.00041494390293212","NATIONAL"
"174","8","3","2","0.00287491387436101","NATIONAL"
"175","8","4","2","0.00041494390293212","NATIONAL"
"176","8","5","2","0.00041494390293212","NATIONAL"
"177","8","6","2","0.0347076302473691","NATIONAL"
"178","8","7","2","0.00041494390293212","NATIONAL"
"179","8","9","2","0.00041494390293212","NATIONAL"
"180","8","10","2","0.00041494390293212","NATIONAL"
"181","8","13","2","0.00041494390293212","NATIONAL"
"182","8","22","2","0.00041494390293212","NATIONAL"
"183","8","29","2","0.00041494390293212","NATIONAL"
"184","8","38","2","0.00994415442726934","NATIONAL"
"185","8","39","2","0.00175814013643025","NATIONAL"
"186","8","55","2","0.00041494390293212","NATIONAL"
"187","8","56","2","0.00041494390293212","NATIONAL"
"188","8","59","2","0.00041494390293212","NATIONAL"
"189","8","65","2","0.00041494390293212","NATIONAL"
"190","8","78","2","0.00041494390293212","NATIONAL"
"191","8","81","2","0.00041494390293212","NATIONAL"
"192","8","86","2","0.00041494390293212","NATIONAL"
"193","8","87","2","0.0245792369900564","NATIONAL"
"194","8","100","2","0.00041494390293212","NATIONAL"
"195","9","1","2","0.0210104266607417","NATIONAL"
"196","9","3","2","0.00171798417887524","NATIONAL"
"197","9","4","2","0.0210104266607417","NATIONAL"
"198","9","5","2","0.000247715256231073","NATIONAL"
"199","9","6","2","0.000247715256231073","NATIONAL"
